Title,Year,Keywords,MeSH Terms
Assessing landfill wastes as a sustainable feeding substrate for black soldier fly larvae.,2025,Hermetia illucens; aged landfill waste; food waste; landfill management; sludge,Animals; Larva; Waste Disposal Facilities; Waste Management; Simuliidae; Solid Waste; Refuse Disposal
"Impact of dietary supplementation of black soldier fly larvae (<i>Hermetia illucens</i> L.) on nutrient digestibility, serum antioxidants, ruminal volatile fatty acids, and abundance of microbial dominant flora in goats.",2025,Antioxidant; Black soldier fly larvae; Crude protein; Growth performance; Ruminal microorganisms,
"Contribution of different frass fertilizer products on enhanced growth, yield and nutrient quality of Broccoli [<i>Brassica oleracea</i>].",2025,broccoli yield; economic returns; insect frass fertilizer; nutrient recycling; regenerative agriculture; soil health,
Enhancing Food Production by Sustainable Cricket Farming in Thailand: Evaluating Black Soldier Fly Larvae as a Cost-Effective Feed Ingredient.,2025,Acheta domesticus; Hermetia illucens; alternative protein; feed conversion ratio (FCR); feed formulation; nutrient efficiency,
First Attempt at Synthetic Microbial Communities Design for Rearing Gnotobiotic Black Soldier Fly <i>Hermetia illucens</i> (Linnaeus) Larvae.,2025,Hermetia illucens; edible insects; host-microbiota interactions; probiotics,
"Effect of Defatting Method on the Nutritional, Functional, and Bioactive Properties of Black Soldier Fly <i>(Hermetia illucens)</i> Larvae.",2025,antioxidant activity; defatting methods; edible insects; phytochemical screening; protein enrichment,
Black Soldier Fly Larvae as a Novel Protein Feed Resource Promoting Circular Economy in Agriculture.,2025,animal feed; black soldier fly larvae (BSFL); growth performance; nutritional value; sustainable agriculture,
Black Soldier Fly: A Keystone Species for the Future of Sustainable Waste Management and Nutritional Resource Development: A Review.,2025,Hermetia illucens; alternative protein production; insect bioconversion; insect genomics; organic waste valorization,
Alternative nutritional evaluation of black soldier fly with various substrates in cat diets and its effects on fecal microbiota.,2025,Fecal microbiota; Feline; Hermetia illucens larvae; Nutrient digestibility; Oraganic substrates,
Formulation and evaluation of the efficacy of an artificial larval diet for rearing various species of flies under laboratory conditions.,2025,Calliphoridae; Muscidae; artificial diet; black soldier fly; insect rearing,
Storing live black soldier fly larvae: the influence of temperature and storage techniques.,2025,Conservation methods; Frass; Hermetia illucens; Larval weight; Survival,Animals; Larva; Temperature; Sarcophagidae; Cold Temperature; Diptera
From insect lipids to biodiesel through the bioconversion process of vegetable by-products.,2025,Bioconversion; Biodiesel; Circular economy; Fatty acids; Hermetia illucens; Lipids; Waste management,Biofuels; Animals; Vegetables; Lipids; Larva; Diptera; Waste Management
A steady-state system for farming black soldier flies to convert agri-food waste into frass and other value-added products.,2025,Bioconversion; Biorefinery; Circular economy; Hermetia illucens; Modular system,Animals; Diptera; Agriculture; Waste Management; Food Loss and Waste
Evaluating the abundance of two particle size ranges of polyethylene microplastics in pig manure under integrated black soldier fly and biochar-amended composting treatments.,2025,Biochar; Black solider fly; Co-composting; Microbes; Polyethene,Animals; Charcoal; Microplastics; Manure; Polyethylene; Composting; Particle Size; Larva; Swine; Simuliidae; Soil Pollutants; Diptera
Insect frass fertilizer upregulates maize defence genes and resistance against an invasive herbivore pest.,2025,Spodoptera frugiperda; Black soldier fly frass fertilizer; Insect resistance; Maize; Plant defense genes; Plant performance,"Zea mays; Animals; Fertilizers; Spodoptera; Herbivory; Larva; Gene Expression Regulation, Plant; Soil; Plant Proteins; Plant Defense Against Herbivory"
"Comprehensive Review of Alternative Proteins in Pet Food: Research Publications, Patents, and Product Trends in Plant, Aquatic, Insect, and Cell-Based Sources.",2025,alternative protein; bioactive compounds; nutrition; pet food; sustainability,
"Potential beneficial effects of dietary replacement of fish meal with Black soldier fly (Hermetia illucens) larvae meal on growth, general physiology, and microanatomy of Nile tilapia (Oreochromis niloticus).",2025,Oreochromis niloticus; Biochemical indices; Black soldier fly larvae meal; Growth performance; MyoD; Myostatin; Nutrient digestibility,Animals; Cichlids; Animal Feed; Larva; Diet; Animal Nutritional Physiological Phenomena; Aquaculture
Exploring interkingdom communication: the case of black soldier fly mass-rearing.,2025,,Animals; Animal Communication; Diptera; Volatile Organic Compounds
Evaluation of <i>Hermetia illucens</i> Larvae Oil as a Dietary Substitute for Fish and Vegetable Oils in African Catfish Hybrid (<i>Clarias gariepinus × Heterobranchus longifilis</i>).,2025,antioxidative effect; black soldier fly; catfish; fatty acid metabolism; sustainability,
Antibacterial and Antifungal Potential of Hermetia illucens Hemolymph Contained-Peptides.,2026,Hermetia illucens; Antimicrobial peptides; Black soldier fly; In vitro antibacterial activity; In vitro antifungal activity; Peptide fraction,Animals; Hemolymph; Anti-Bacterial Agents; Diptera; Antimicrobial Peptides; Antifungal Agents; Microbial Sensitivity Tests; Escherichia coli; Larva; Insect Proteins
Truncated Higiant enhances the bioconversion ability of Hermetia illucens.,2025,,Animals; Gene Editing; CRISPR-Cas Systems; Diptera; Insect Proteins
Dietary inclusion of frass from black soldier fly (Hermetia illucens) larvae modulates gut microbiota without compromising the growth performance and health status of catfish (Ictalurus punctatus) juveniles.,2025,BSFL frass; Channel catfish; Intestine microbiota; Sustainable ingredient,Animals; Gastrointestinal Microbiome; Animal Feed; Diet; Larva; Ictaluridae; Diptera; Aquaculture; Animal Nutritional Physiological Phenomena
Black soldier fly (Hermetia illucens) larvae exoskeleton as a potential source of chitin in diets for juvenile channel catfish (Ictalurus punctatus).,2025,Edwardsiella ictaluri; Biopolymers; Digesta microbiota; Exuviae; Insect chitin; Prebiotic,Animals; Animal Feed; Ictaluridae; Chitin; Diet; Larva; Dietary Supplements; Edwardsiella ictaluri; Diptera; Fish Diseases; Gastrointestinal Microbiome; Aquaculture
Cow dung biochar amendment affects the bioconversion of spent mushroom substrate and fruit waste by black soldier fly (Diptera: Stratiomyidae) larvae.,2025,Biochar applications; Black soldier fly larvae; Circular economy; SDGs; Waste valorization,Animals; Larva; Agaricales; Manure; Charcoal; Fruit; Cattle; Diptera
Growth Performance of Gilthead Sea Bream (<i>Sparus aurata</i>) Fed Low Fish Meal Diets With an Innovative Mixture of Low Trophic Ingredients.,2025,black soldier fly; gilthead sea bream; microalgae; tunicate,
"Effectiveness of black soldier fly (Hermetia illucens) as meal or whole larvae in feeding pheasants on production outcomes, chemical composition, and fatty acid profile of eggs.",2025,Eggs; Fatty acids; Hermetia illucens; Insect larvae and meal; Pheasant,Animals; Animal Feed; Larva; Diet; Fatty Acids; Ovum; Galliformes; Female; Animal Nutritional Physiological Phenomena; Diptera; Male; Dietary Supplements; Simuliidae; Random Allocation
Cardoon cake as a sustainable alternative ingredient in broiler feeding.,2025,Poultry feeding; cardoon meal; gut microbiota; soybean meal; sustainability,
Complete mitochondrial genome of a novel black soldier fly isolate from Jordans.,2025,"Hermetia illucens, jordan; Black soldier fly; Mitogenome","Animals; Genome, Mitochondrial; Phylogeny; Base Composition; RNA, Transfer; Diptera; Polymorphism, Single Nucleotide; High-Throughput Nucleotide Sequencing; Simuliidae"
Assessment of Hermetia illucens pupal exuviae fermented by Bacillus amyloliquefaciens as functional feed additive for red feather native chickens.,2025,Bacillus amyloliquefaciens; Chitin; Chitooligosaccharides; Hermetia illucens; Red feather native chicken,Animals; Chickens; Bacillus amyloliquefaciens; Animal Feed; Diet; Fermentation; Pupa; Dietary Supplements; Calliphoridae; Animal Nutritional Physiological Phenomena; Gastrointestinal Microbiome; Random Allocation
Impact of <i>Salmonella enteritidis</i> Infection and Mechanical Stress on Antimicrobial Peptide Expression in <i>Hermetia illucens</i>.,2025,AMPs; BSF; Hermetia illucens; Salmonella enteritidis; Salmonella typhimurium; antimicrobial peptides,
"Co-presence of black soldier fly frass, soil-biodegradable mulch films, and earthworms: effects on film biodegradation, ecotoxicity, and microbial community.",2025,Biodegradable plastic; Comet Assay; Eisenia fetida; NGS; microbiome; soil fertility; soil health,"Animals; Oligochaeta; Biodegradation, Environmental; Soil; Microbiota; Soil Microbiology; Diptera; Bacteria; Soil Pollutants; Waste Products"
Effects of replacing soybean meal with powdered or pelleted black soldier fly larvae on nutrient digestibility and rumen fermentation in Thai native beef cattle.,2026,Feed Processing; Insect Protein; Rumen Dynamic; Sustainability,
Review: Enhancing resilience of Mediterranean food systems through insect-based biotransformation of agri-food side streams (black soldier fly and yellow mealworm).,2025,Absorbability; Adaptability; Insect production; Organic waste upcycling; Recoverability,Animals; Biotransformation; Agriculture; Diptera; Mediterranean Region; Insecta
Effects of Feeding Mandarin and Poultry By-Products on Growth Performance and Physicochemical Properties of Black Soldier Fly (<i>Hermetia illucens</i>) Larvae.,2025,black soldier fly larvae; by-product; feed industry; growth performance; insects,
Chemopreventive Effects of Bioactive Peptides Derived from Black Soldier Fly Larvae Protein Hydrolysates in a Rat Model of Early-Stage Colorectal Carcinogenesis.,2025,black soldier fly larvae; colon cancer; freeze drying; gut microbiota; insect protein hydrolysates; short-chain fatty acids; spray drying,"Animals; Protein Hydrolysates; Colorectal Neoplasms; Rats; Peptides; Larva; Male; Disease Models, Animal; Carcinogenesis; Gastrointestinal Microbiome; Anticarcinogenic Agents; Diethylnitrosamine; 1,2-Dimethylhydrazine; Aberrant Crypt Foci; Apoptosis; Insect Proteins"
Physicochemical and Perceived Olfactory Changes in Black Soldier Fly (<i>Hermetia illucens</i>) Larvae Oil Under Domestic Cooking Temperatures.,2025,circular economy; fatty acid composition; food security; food waste; insect larvae; insect oil quality; odour perception,
Investigating the Microbial Dynamics of <i>Hermetia illucens</i> Powder Throughout Rearing and Processing: An Integrated Approach Using Cultural and Metabarcoding Methods.,2025,Black soldier fly; edible insect; food safety; microbial diversity; microbial quality; microbiota,
Dietary inclusion of Hermetia illucens larvae meal modifies caecal microbiota diversity and composition in barbary partridges (Alectoris barbara).,2025,Barbary partridges; Black soldier fly; Gut microbiota; Insect,"Animals; Larva; Cecum; Diptera; Animal Feed; Gastrointestinal Microbiome; Galliformes; Diet; RNA, Ribosomal, 16S; Bacteria; Biodiversity"
"Animal board invited review: The need for, and the path towards, a functional understanding of the farmed insect microbiome.",2025,Hermetia illucens; Insect-microbe interactions; Metagenomics; Microbiome engineering; Tenebrio molitor,Animals; Tenebrio; Gastrointestinal Microbiome; Microbiota; Diptera; Animal Husbandry
"Assessment of apparent metabolizable energy, and ileal amino acid digestibility of full-fat black soldier fly larvae (Hermetia illucens) in broiler chickens.",2025,Amino acid; Black soldier fly larvae; Broiler chicken; Metabolizable energy; Standardized ileal digestibility,Animals; Chickens; Digestion; Animal Feed; Male; Amino Acids; Energy Metabolism; Larva; Diet; Animal Nutritional Physiological Phenomena; Ileum; Diptera; Random Allocation
Perspectives on microbial community changes produced by Hermitia illucens frass and their impact on soil suppression against Fusarium oxysporum f. sp. lactucae.,2025,biocontrol agents; black soldier fly larvae; chitin; disease suppression; fusarium wilt; insect frass,Fusarium; Soil Microbiology; Animals; Larva; Chitin; Microbiota; Soil; Plant Diseases; Diptera
From Plant By-Products to Insects to Shrimp: A Pathway to Sustainable Aquaculture Feed in a Circular Economy.,2025,,
Country-Level Bibliometric Analysis of Edible Insect Research: Geographic Distribution and Contributions to Advancing Sustainable Alternatives for Food and Feed.,2025,alternative protein; bibliometric analysis; country-level analysis; edible insects; emerging themes; functional foods; geographic distribution; sustainable feed,
Insect Larvae Meal as a Complementary Functional Ingredient in High Soybean Meal-Based Diets Improve the Health of Rainbow Trout (Oncorhynchus mykiss).,2025,Flavobacterium psychrophilum; gut health; immunology; insect meal; soybean meal,Animals; Oncorhynchus mykiss; Animal Feed; Fish Diseases; Glycine max; Diet; Larva; Flavobacteriaceae Infections; Diptera; Flavobacterium; Dietary Supplements
Frass from black soldier fly larvae as a sustainable by-product feed: in vitro evaluation and nutritional clustering for environmentally-friendly ruminant diets.,2025,By-product; Feed; Frass; Ruminants,Animal Feed; Animals; Larva; Ruminants; Diptera; Diet
The fate of Candida tropicalis in the black soldier fly larvae and its nutritional effect suggest indirect interactions.,2025,,Animals; Candida tropicalis; Larva; Gastrointestinal Tract; Tephritidae; Fatty Acids; Metabolomics
"Growth performance, meat quality, cecal microbiota and metabolomics profile of turkeys fed diets containing black soldier fly (Hermetia illucens) meal.",2025,Gastrointestinal tract; Insect meal; Meat quality; Nutrition; Poultry; Productivity,Animals; Turkeys; Animal Feed; Cecum; Female; Gastrointestinal Microbiome; Meat; Metabolomics; Diet; Diptera; Metabolome; Animal Nutritional Physiological Phenomena
"Dietary inclusion of defatted black soldier fly larvae meal: impacts on laying hen performance, egg quality, serum biomarkers, and intestinal morphology.",2025,antioxidant capacity; defatted BSFL meal; egg production performance; eggshell strength; intestinal morphology,
Larval density drives thermogenesis and affects microbiota and substrate properties in black soldier fly trials.,2025,Biotechnology; Entomology; Microbiome,
Development of intelligent packaging films utilising chitosan derived from black soldier fly exuviae and anthocyanin from red dragon fruit peel for monitoring banana ripeness.,2025,Black soldier fly exuviae; Chitosan; Indicator film,"Chitosan; Musa; Anthocyanins; Animals; Food Packaging; Fruit; Diptera; Tensile Strength; Spectroscopy, Fourier Transform Infrared; Color; Cactaceae"
Insect-derived chitosan for phosphate recovery and application as a sustainable fertilizer.,2025,Black soldier fly; Chitin; Nitrogen; Phosphate; Slow release fertilizer,"Fertilizers; Chitosan; Phosphates; Adsorption; Animals; Biodegradation, Environmental"
Synergistic mechanism of tetracycline degradation by poor-degrading microbe Serratia marcescens cooperated with insect during environmental decomposition cycle.,2025,Black soldier fly larvae; Functional genes; Intestinal microbes; Synergistic degradation of tetracycline,"Serratia marcescens; Animals; Tetracycline; Biodegradation, Environmental; Larva; Insecta; Anti-Bacterial Agents"
Sustainable Fishmeal Alternatives: Impact of Partially Defatted Black Soldier Fly (<i>Hermetia illucens</i>) Meal on Growth and Health of Yellowtail Kingfish (<i>Seriola lalandi</i>).,2025,fishmeal replacement; insect protein; microbiome; sustainable aquafeeds; yellowtail kingfish,
Parentage assignment in black soldier fly (<i>Hermetia illucens</i>) using genotyping-by-sequencing.,2025,SNP; black soldier fly; genotyping-by-sequencing; insects breeding; parentage assignment,
Silver Nanoparticles from <i>Hermetia illucens</i> Biomass Are Antibacterial Against <i>Pseudomonas aeruginosa</i> Infection in <i>Caenorhabditis elegans</i>.,2025,C. elegans; P. aeruginosa; antimicrobial; bacterial infection; black soldier fly; green synthesis; nanotechnology,
"Comparative impact of partial replacement of soybean meal with select specialty protein ingredients in broiler chicken starter feeding program on growth, organ, intestinal, plasma, and litter attributes to 49 days of age.",2025,Broiler chickens; Growth performance; Specialty protein ingredients; Starter feeding program,Animals; Chickens; Animal Feed; Diet; Male; Animal Nutritional Physiological Phenomena; Glycine max; Random Allocation; Intestines; Dietary Proteins
Effects of Feed Additives (<i>Nannochloropsis gaditana</i> and <i>Hermetia illucens</i>) on Growth and Expression of Antioxidant and Cytokine Genes in Nile Tilapia (<i>Oreochromis niloticus</i>) Subjected to Air Exposure Stress.,2025,Hermetia illucens; Nannochloropsis; additives; gene expression; stress,
"Hermetia illucens oil vs. hydrogenated palm fat in dairy cow nutrition: effects on digestive parameters, oxidative stress, and milk production performance.",2025,Alternative energy source; Antioxidant capacity; Apparent total-tract digestibility; Black soldier fly; Residual feed intake; Ruminant nutrition,
Dietary Black Soldier Fly Larvae Meal and Its Impact on the Growth Performance and Gut Health of Broilers Under an Intestinal Challenge.,2025,Hermetia illucens; broiler chicken; interleukin; lauric acid; short-chain fatty acid,
"Acrylamide Impacts on Black Soldier Fly Larvae: Growth, Toxicity, Microbes, and Bioaccumulation Risks for Food/Feed Safety.",2025,Hermetia illucens; acrylamide; bioaccumulation; toxicological effects,
"Impact of live black soldier fly larvae supplementation on laying hen performance, stress levels and excreta microbiota.",2025,Black soldier fly; Corticosterone excreta; Laying hens; Microbiota; Performance,"Animals; Chickens; Larva; Diet; Female; Animal Feed; Feces; Dietary Supplements; Microbiota; Stress, Physiological; Corticosterone; Random Allocation; Simuliidae"
"Effect of partial replacement of soybean meal with gamma-irradiated black soldier fly larvae or crushed grasshopper on growth performance, carcass traits, meat quality and organoleptic characteristics in broiler chickens.",2026,Fly larvae; broiler; carcass; gamma irradiation; grasshopper,Animals; Animal Feed; Chickens; Gamma Rays; Male; Diet; Glycine max; Larva; Meat; Grasshoppers; Random Allocation; Animal Nutritional Physiological Phenomena; Calliphoridae
Utilizing spent mushroom substrate for rearing black soldier fly (<i>Hermetia illucens</i>) larvae: enhancing fertilizer efficiency and improving animal feed quality for sustainable agriculture.,2025,Agricultural product; BSFL decomposition; Fermentation; Frass; Growth performance; Nutrient contents; Protein; Supplementation; Survival,Animals; Larva; Animal Feed; Agaricales; Fertilizers; Simuliidae; Fermentation; Agriculture
The optimization of compound enzyme process for enzymatic hydrolyzate from black soldier fly (Hermetia illucens): Antioxidant and immune activity investigation in vitro and in vivo.,2025,Antioxidant; Black soldier fly; Common carp; Enzymatic hydrolysis; Immunity,Animals; Antioxidants; Insect Proteins; Hydrolysis; Diptera; Trypsin; Papain; Protein Hydrolysates; Simuliidae
"Bacteriological quality of fresh and processed black soldier fly <i>Hermetia illucens</i> larvae reared on chicken manure in Kitwe, Zambia.",2025,antimicrobial resistance; bacteria; black soldier fly; chicken manure,Animals; Zambia; Larva; Escherichia coli; Chickens; Manure; Staphylococcus; Diptera; beta-Lactamases; Anti-Bacterial Agents; Bacteria; Animal Feed; Simuliidae; Bacterial Proteins
Analytical Methods for the Identification of Edible and Feed Insects: Focus on DNA-Based Techniques.,2025,DNA barcoding; PCR; edible insect; insect species identification; sequencing,
Egg Quality and Laying Performance of Rhode Island Red Hens Fed with Black Soldier Fly Larvae and Microalgae Meal as an Alternative Diet.,2025,alternative proteins; black soldier fly larvae; laying-hen eggs; microalgae,
From Waste to Technological Products: Bioplastics Production from Proteins Extracted from the Black Soldier Fly.,2025,Black Soldier Fly; biofactory; bioplastics; high-value products; polyvinyl alcohol; proteins,
Micro- and nanoplastic size affects uptake and digestive tract region residence time in black soldier fly larvae during food waste bioconversion.,2025,Food Waste; Microplastics; Nanoplastics; Pollution; Recycling,Animals; Larva; Gastrointestinal Tract; Microplastics; Particle Size; Diptera; Recycling; Plastics; Food Loss and Waste
Review: Opportunities and challenges for the pork industry from circular livestock waste management systems.,2025,Biogas; Black Soldier Fly Larvae; Insect Bioconversion; Pig Slurry; Sustainable,
Impact of killing and drying methods on physicochemical and functional properties of black soldier fly larvae (BSFL) oil.,2025,Bioactivity; Fatty acid profile; Lauric acid; Lipid hydrolysis; MCF-7 cytotoxicity; Non-thermal processing; Oxidative stability; Thermal processing,Animals; Larva; Freeze Drying; Antioxidants; Humans; Simuliidae; Desiccation; Oils; MCF-7 Cells; Diptera; Cell Proliferation; Microwaves
"Effects of feeding unprocessed whole black soldier fly (Hermetia illucens) larvae on performance, biochemical profile, health status, egg quality, microbiome and metabolome patterns of quails.",2025,Egg quality; Production performance; Protein feed; Quail; Whole black soldier fly larvae,"Animals; Animal Feed; Diet; Larva; Gastrointestinal Microbiome; Metabolome; Ovum; Simuliidae; Random Allocation; Coturnix; Animal Nutritional Physiological Phenomena; Female; Dose-Response Relationship, Drug; Quail"
"Efficiency of microbial fermentation on microbial shifts, enzymatic activity, and transcriptions in black soldier fly larvae during the sugarcane waste conversion.",2025,Black soldier fly; Lignocellulose degradation; Microbial fermentation; Microbial shifts; Sugarcane waste; Transcriptional profiles,Saccharum; Animals; Fermentation; Larva; Simuliidae
Fermented black soldier fly larvae as a sustainable replacement for marine fish in Asian swamp eel diets.,2025,Asian swamp eel; black soldier fly larvae; fermented insect protein; hepatic lipid accumulation; intestinal immunity; sustainable aquafeed,
"Novel insight into the impact of black soldier fly larvae meal and protease on cecal microbiome, SCFAs, and excreta composition in laying hens.",2025,Ammonium; Black soldier fly larvae meal; Cecal microbiome; Excreta; Insect meal; Laying hens; Protease enzyme; SCFA,
Heat Treatment and Storage of Frass From Black Soldier Fly Larvae and Yellow Mealworm Production: Compliance With EU Regulation on Microbiological Quality and Safety.,2025,E. coli; Enterococaceae; Hermetia illucens; Salmonella; Tenebrio molitor; insect rearing residue,"Animals; Larva; Hot Temperature; Tenebrio; Salmonella; Food Microbiology; Food Storage; European Union; Diptera; Food Safety; Colony Count, Microbial"
Impact of Black Soldier Fly Larvae Oil on Immunometabolic Processes.,2025,black soldier fly larvae (BSFL); cytokines; immunometabolism; macrophage polarization; nuclear factor kappa B (NF-κB); peroxisome proliferator-activated receptor (PPAR); toll-like receptor (TLR),"Animals; Larva; Humans; Macrophages; Diptera; Cytokines; Leukocytes, Mononuclear; Signal Transduction; NF-kappa B; PPAR gamma; THP-1 Cells"
"Bioconversion of Meat and Fish-Based Former Foodstuffs by Black Soldier Fly Larvae: A Sustainable Pathway for Reducing Food Waste, Enhancing Nutrient Recovery, with a Circular Economy Approach.",2025,bioconversion; circular economy; food waste management; meat and fish by-products; nutrient recovery,
Adding Fruit Fermentation Liquid Improves the Efficiency of the Black Soldier Fly in Converting Chicken Manure and Reshapes the Structure of Its Intestinal Microbial Community.,2025,ammonia emissions; black soldier fly larvae; chicken manure conversion; fruit fermentation liquid; intestinal microbial community,
Medium-Chain Fatty Acids Extracted from Black Soldier Fly (<i>Hermetia illucens</i>) Larvae Prevents High-Fat Diet-Induced Obesity In Vivo in C57BL/6J Mice.,2025,black soldier fly larvae; high-fat diet; medium-chain triglycerides; obesity prevention,
Short communication: Substantial heritability of larval size in the black soldier fly reveals potential for selective breeding.,2025,Breeding planning; Genetic parameters; Genetic selection; Genetic variation; Sustainable breeding,Animals; Larva; Male; Female; Diptera; Selective Breeding; Genetic Variation; Body Size
Host-mediated environmental microbiome recruitment by black soldier fly (Hermetia illucens) enhances waste biotransformation.,2025,Black soldier fly; Egg-surface microbes; Germ-free insect; Gut microbes; Host-mediated recruitment; Microbial consortium,"Animals; Larva; Manure; Biotransformation; Microbiota; Diptera; Gastrointestinal Microbiome; Biodegradation, Environmental; Simuliidae; Waste Management"
"Insect fat influences broiler performance, meat quality, and the cecal microbiota similarly to plant oils rather than animal fats.",2025,Black soldier fly; Chicken; Consumer acceptance; Dietary fats; Immune response; Physiological response,Animals; Chickens; Meat; Animal Feed; Cecum; Plant Oils; Gastrointestinal Microbiome; Fats; Palm Oil; Larva; Dietary Fats; Soybean Oil; Diet
"Impact of aflatoxin B<sub>1</sub>-exposure on the genotoxic potential of larval extracts of the black soldier fly (Hermetia illucens), housefly (Musca domestica) and lesser mealworm (Alphitobius diaperinus).",2025,Aflatoxins; Circular food systems; Edible insects; In vitro testing; Mycotoxin metabolism,Animals; Aflatoxin B1; Houseflies; Larva; Mutagenicity Tests; Simuliidae; Tenebrio; Animal Feed; Mutagens; Coleoptera
Physical properties of food waste influence the efficiency of black soldier fly larvae bioconversion via microbial activity.,2025,Black soldier fly; Food waste recycling; Gas emission reduction; Hermetia illucens; Insect farming; Microbes; Waste valorization,Animals; Larva; Carbon Dioxide; Diptera; Waste Management; Temperature; Food Loss and Waste
Using black soldier fly larval frass to restore soil health.,2025,Agriculture; Biostimulant; Insect bioconversion; Organic waste; Soil degradation,"Animals; Soil; Larva; Simuliidae; Biodegradation, Environmental; Biomass; Soil Microbiology"
"Performance of lambari-do-rabo-amarelo Astyanax bimaculatus (Linnaeus, 1758) fed diets based on adult black soldier fly meal: analysis of its effectiveness as a substitute for fish meal.",2025,,Animals; Animal Feed; Animal Nutritional Physiological Phenomena; Diptera; Diet; Weight Gain
Screening optimum reference genes for quantitative real-time polymerase chain reaction analysis in black soldier fly Hermetia illucens under different conditions.,2025,Hermetia illucens; RefFinder software; genotypes; reference genes,
Encapsulated phytogenic oils enhance in vitro rumen fermentation and reduce methane emissions.,2025,Feed delivery; Garlic-in-riceberry; Methane emission; Micro-nanocapsules; Nutrients protection; Rumen fermentation,"Rumen; Fermentation; Animals; Methane; Plant Oils; Animal Feed; Cattle; Rice Bran Oil; Oils, Volatile; Diet; Garlic; Allyl Compounds; Sulfides"
Black Soldier Fly Larvae Meals With and Without Stickwater Highly Utilized in Freshwater by Atlantic salmon (<i>Salmo salar</i>) Parr.,2025,aquafeeds; digestion; insects; minerals; processing; utilization,
"Green Processes for Chitin and Chitosan Production from Insects: Current State, Challenges, and Opportunities.",2025,alternative proteins; biomass valorization; biopolymer; circular economy; green chemistry; sustainability,
Effects of Short-Term Feeding with Diets Containing Insect Meal on the Gut Microbiota of African Catfish Hybrids.,2025,African catfish; Bacillus; antibiotic resistance; chitinase; insect meal; intestinal microbiota,
The Role of Black Soldier Fly Larvae in Optimizing Performance and Amino Acid Composition in Thai Native Chicken.,2025,Pradu Hang Dam Mor Kor 55; Thai native chicken; alternative proteins; black soldier fly larvae; production,
Exposure of black soldier fly larvae to microplastics of various sizes and shapes: Ingestion and egestion dynamics and kinetics.,2025,Bioaccumulation; Bioconversion; Food waste; Hermetia illucens; Polyethylene,Animals; Microplastics; Larva; Particle Size; Kinetics; Diptera
"Low drying temperature has negligible impact but defatting increases in vitro rumen digestibility of insect meals, with minor changes on fatty acid biohydrogenation.",2025,Ammonia; Black soldier fly; Defatted insect meal; Ether extract; Fatty acid; Full-fat insect meal; In vitro rumen fermentation; Methane; Yellow mealworm,
Enhancing sustainability in meat production through insect biorefinery.,2025,,
"Effects of inclusion of black soldier fly larvae on growth performance, relative organ weight, and meat quality of broiler chickens.",2025,Black soldier fly larvae; Breast meat; Broiler chicken; Fatty acid; Growth performance,"Animals; Chickens; Animal Feed; Diet; Meat; Organ Size; Larva; Random Allocation; Dietary Supplements; Animal Nutritional Physiological Phenomena; Male; Dose-Response Relationship, Drug; Simuliidae"
Mitigating the transfer risk of antibiotic resistance genes from fertilized soil to cherry radish during the application of insect fertilizer.,2025,Antibiotic resistance genes; Fertilized soil; Metagenomic-assembled genomes; Transfer risks; Vegetables,"Fertilizers; Raphanus; Animals; Soil Microbiology; Drug Resistance, Microbial; Soil; Agriculture"
Artificial light source combined with functional microorganism improves reproductive performance of black soldier fly.,2025,Hermetia illucens; oviposition; reproductive behavior; volatile organic compounds,
HiHR4 regulates chitin metabolism during molting of Hermetia illucens.,2025,Biomass; Chitin metabolism; Hermetia illucens; Hormone receptor 4; Molting,Animals; Molting; Chitin; Larva; Insect Proteins; Diptera; Ecdysterone; RNA Interference
"Development of chitosan-clay nanocomposite films from Hermetia illucens: analysis of chemical, physical, and mechanical properties.",2025,Biopolymers; Chitosan; Clay; Hermetia illucens; Insects; Wound healing,Chitosan; Nanocomposites; Animals; Clay; Tensile Strength; Hydrophobic and Hydrophilic Interactions; Diptera; Mechanical Phenomena; Adhesiveness
Research note: High levels of lead and arsenic in imported dried black soldier fly larvae: implications for backyard poultry supplementation.,2025,,Animals; Larva; Arsenic; Animal Feed; Lead; Dietary Supplements; Simuliidae; Chickens
Black Soldier Fly Culture as a Source of Chitin and Chitosan for Its Potential Use in Concrete: An Overview.,2025,biopolymer; entoconcrete; green concrete; organic waste; sustainability,
Assessment of the combined response of heavy metals and human pathogens to different additives during composting of black soldier fly manure.,2025,Black soldier fly manure; Composting; Heavy metal; Pathogen; Pollution reduction,"Composting; Manure; Metals, Heavy; Animals; Charcoal; Humic Substances; Fungi; Bacteria; Tea; Humans; Soil Pollutants; Simuliidae"
"Substitution of Poultry Fat with Black Soldier Fly (<i>Hermetia illucens</i>) Larvae Fat in Dog Diets: Effects on Digestibility, Palatability, Peroxidation of Dry Food, Immunity, Blood Biochemistry, and Faecal Characteristics of Adult Dogs.",2025,black soldier fly larvae fat; digestibility; dog; immunity; lipid peroxidation; palatability; serum biochemistry; stool quality,
"Dried Whole Black Soldier Fly Larvae Consumption Supports Gestation, Lactation, and Growth in Cats.",2025,cats; dried whole black soldier fly larvae; gestation; growth; kittens; lactation; pet food; regulatory authorization,
